2025-08-01 21:53:36,198 - WARNING - {"timestamp": "2025-08-01T21:53:36.198261", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
2025-08-01 21:53:36,198 - WARNING - {"timestamp": "2025-08-01T21:53:36.198261", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
2025-08-01 21:53:36,198 - WARNING - {"timestamp": "2025-08-01T21:53:36.198261", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
2025-08-01 21:53:36,213 - WARNING - {"timestamp": "2025-08-01T21:53:36.213885", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6529510150771647, "details": {"type": "anomaly", "score": -0.6529510150771647, "confidence": 0.6529510150771647}}
2025-08-01 21:53:36,213 - WARNING - {"timestamp": "2025-08-01T21:53:36.213885", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:36,213 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:36.213885", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:36,213 - WARNING - {"timestamp": "2025-08-01T21:53:36.213885", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:36,213 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:36.213885", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:36,231 - WARNING - {"timestamp": "2025-08-01T21:53:36.231376", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6591326635296123, "details": {"type": "anomaly", "score": -0.6591326635296123, "confidence": 0.6591326635296123}}
2025-08-01 21:53:36,231 - WARNING - {"timestamp": "2025-08-01T21:53:36.231376", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6288909572916139, "details": {"type": "anomaly", "score": -0.6288909572916139, "confidence": 0.6288909572916139}}
2025-08-01 21:53:36,349 - WARNING - {"timestamp": "2025-08-01T21:53:36.349612", "threat_type": "anomaly", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 0.5025377921718311, "details": {"type": "anomaly", "score": -0.5025377921718311, "confidence": 0.5025377921718311}}
